,Date,ArticleNumber,SectionText,LinkCount,SectionArticleLength,Weekday,Clicks
0,2020-07-20,0,"The European Commission has fined US-based Celanese, Switzerland's Clariant, and Mexico's Orbia a total of $296 million for colluding to purchase ethylene at the lowest possible price in Europe. US-based Westlake Chemical also participated in the cartel, but they told on themselves and evaded all penalties by doing so. The four companies coordinated their price negotiation strategies so that ethylene sellers would agree to sell ethylene at a lower price. Ethylene is most commonly produced by steam cracking natural gas and is mostly used to produce polyethylene. This isn't the kind of collusion you're more familiar with—when sellers agree to set prices higher than they otherwise would be. Colluding to purchase ethylene at a lower price hurts ethylene sellers and increases the profits of the ethylene purchasers.Read the press release here.",6,849,0,1.0
1,2020-07-20,1,"Poland's state-controlled largest refiner, PKN Orlen, is making acquisitions to become an energy giant capable of competing in international oil and gas markets. PKN Orlen bought 80% of Poland's state power company, Energa, earlier this year. They purchased a smaller Polish refiner, Lotos, just last week. And now, they have signed a letter of intent to acquire Poland's natural gas company PGNiG. It's not that you'll ever work for this Polish oil & gas company, it's just important to understand how it stacks up to companies you know. In this case, once PKN Orlen completes all of these acquisitions it would be capable of generating annual earnings before interest, taxes, depreciation, and amortization (EBITDA) of $5 billion. For some perspective, Valero did $6 billion in 2019, and Phillips 66 did $4 billion.Read more here.",5,832,0,0.0
2,2020-07-20,2,"Perfect Day has now raised their total investment funding to $360 million. The US-based start-up produces animal-free dairy proteins through the fermentation of cow gut bacteria. This means that the proteins produced are identical to those produced by cows, and can be used as a drop-in substitute for any product that uses cow milk. Perfect Day isn't the only company using fermentation as a pathway to identical end products. San Diego's Genomatica has already commercialized processes to produce 1,4-Butanediol (for the plastics industry) and butylene glycol (for the cosmetics industry). The chemicals Genomatica is producing have only been possible with oil derivatives until now. Obviously scaling fermentation bioprocesses globally is no easy feat, but it's at least something to look out for.Read more about Perfect Day here or Genomatica here.",4,852,0,2.0
3,2020-07-21,0,"Standard Oil successor, Chevron, announced yesterday that they will be acquiring Houston-based Noble Energy for $5 billion in stock. All that shale in Colorado and the Permian Basin increases Chevron's proven oil and gas reserves by 18%. Just one year ago Chevron was outbid by Occidental when trying to acquire Anadarko. Anadarko at the time had roughly 1.473 billion barrels of oil equivalent (BOE) in proven reserves and Occidental ended up paying $38 billion. Chevron just bought Noble Energy's 2.05 BOE for $5 billion. Chevron was one of the first oil majors to cut spending when the price of oil crashed earlier this year. The oil price crash reduced the share value of many energy companies, making them look like snacks for companies with enough resources. Chevron was sitting on $8.5 billion in cash at the end of Q1 2020.Read more here.",8,846,1,10.0
4,2020-07-21,1,"Way back in 1964, Irving-based Celanese formed a joint venture with Japanese Daicel called Polyplastics (zero creativity points for that name). Now Celanese is selling off their 45% stake in the company for $1.5 billion. See a timeline of the JV and the products they've produced here. Basically, Celanese has grown enough in Asia that it can compete against its joint venture. Celanese would rather have the cash to pay off that big fine mentioned in yesterday's column (joking). Celanese will be buying back $500 million of their shares and will use the rest of the cash for other possible acquisitions and future share repurchases. But in the words of Celanese CEO Lori Ryerkerk, ""We plan to use this opportunity to monetize a historically passive investment and allocate significant capital to higher growth businesses within Celanese,"". If that didn't make sense I hope everything else did.Read more here.",3,910,1,4.0
5,2020-07-21,2,"US-based Dow Chemical has launched a plastic recycling project in Nigeria to recycle water sachets. A water sachet is a bag of water, known for being the most affordable method of providing clean drinking water to Nigeria's citizens. Dow hopes to divert around 300 million sachets from ending up in a landfill or the environment. Nigerian waste management start-up, RecyclePoints, will be collecting the used water sachets and delivering them to Dow's facility. They hope to create a long term infrastructure for plastic recycling. Dow produces the plastic that goes into these bags. Those bags enable Nigeria's citizens (where 19% still don't have access to safe drinking water) to purchase water at an affordable price. And now, Dow is taking responsibility for cleaning up the waste.Read more here.",4,801,1,5.0
6,2020-07-22,0,"Headquartered in The Woodlands, Texas,  ExxonMobil, Georgia Tech, and Imperial College London have published joint research on a refining membrane. The research successfully demonstrated that the primary components of gasoline (naptha) and jet fuel (kerosene) could be separated through a membrane by pressure instead of by heat (like in a distillation column). A similar process for water purification, reverse osmosis, reduces the energy requirement for desalination ten times over. Plenty of research and development is required to progress the membrane technology to an industrial scale. But eventually, the membranes could potentially replace some steps in the refining process and contribute to a hybrid-refining system. Since the year 2000, Exxon has invested roughly $10 billion in projects dedicated to develop lower-emission energy solutions. New technologies don't come out of nowhere; they take a lot of money and a lot of time.Read the press release here.",7,968,2,1.0
7,2020-07-22,1,"American-German industrial gas giant, Linde, has signed a Memorandum of Understanding (a non legally binding agreement) with a subsidiary of China Power International Development. They have agreed to develop green hydrogen technologies to support China's energy transition. Linde has the world's largest hydrogen capacity and distribution system. They operate 80 hydrogen electrolysis plants and have installed over 180 hydrogen refueling stations worldwide for vehicles. Most hydrogen produced today is a product of the steam reforming of methane (SMR). The industry calls hydrogen from this source ""grey hydrogen"". ""Green hydrogen"" on the other hand, is produced by passing electrical current (from renewable sources) through water, splitting it into hydrogen and oxygen.Read the press release here.",3,801,2,2.0
8,2020-07-22,2,"A potential agreement between Iran and China, obtained by The New York Times, describes plans for China to invest $280 billion in Iran's oil & gas industry. The document hasn't been officially announced from either country, but it's implications are worth exploring. Good luck reading it! There have been talks of a potential agreement for years. In 2016, the two countries signed a letter of intent to establish a partnership, but no official agreement ever surfaced. If an agreement is ever reached, this would lead to large scale investments from China in Iran's oil and gas reserves. In recent years, Iran hasn't seen much investment in those resources due to economic sanctions. If China invests in Iran, they might receive a heavily discounted supply of petrochemicals from them. In a drastic oversimplification, if China is getting a good deal from Iran they may have less reason to buy from US producers. Politics plays a role in the petrochemical industry, so even though this is just a rumor, it's a solid reminder of what's possible.Read more here from ICIS.",5,1069,2,33.0
9,2020-07-23,0,"Irving-based EPC corporation, Fluor, has been awarded the front-end engineering design (FEED) contract for California Resources Corporation's (CRC) carbon capture project.  CRC owns Elk Hills Field, the largest natural gas field in California. Back in 1999, CRC formed a joint venture with a portfolio company called Elk Hills Power. Elk Hills Power operates a 550-megawatt (MW) natural gas combined-cycle power plant that supplies its operations and sells the excess to the grid. The US Department of Energy and OGCI Climate Investments has invested in Elk Hills Power, enabling them to pay Fluor to design the carbon capture project. They hope to integrate their power plant with this carbon capture plant so that they can either sequester the CO2 underground or enhance oil recovery by injection. (check out their infographic).Read the press release here.",7,858,3,3.0
