Date,0,1,2,3,4,Weekday
2020-07-20,1.0,0.0,2.0,-1.0,-1.0,0
2020-07-21,10.0,4.0,5.0,-1.0,-1.0,1
2020-07-22,1.0,2.0,33.0,-1.0,-1.0,2
2020-07-23,3.0,1.0,1.0,-1.0,-1.0,3
2020-07-24,1.0,10.0,3.0,-1.0,-1.0,4
2020-07-27,46.0,15.0,13.0,-1.0,-1.0,0
2020-07-28,17.0,29.0,51.0,-1.0,-1.0,1
2020-07-29,35.0,11.0,32.0,-1.0,-1.0,2
2020-07-30,28.0,22.0,10.0,-1.0,-1.0,3
2020-07-31,32.0,30.0,10.0,-1.0,-1.0,4
2020-08-03,27.0,47.0,14.0,-1.0,-1.0,0
2020-08-04,6.0,9.0,19.0,-1.0,-1.0,1
2020-08-05,18.0,38.0,31.0,-1.0,-1.0,2
2020-08-06,30.0,17.0,23.0,-1.0,-1.0,3
2020-08-07,75.0,16.0,14.0,-1.0,-1.0,4
2020-08-10,18.0,32.0,23.0,-1.0,-1.0,0
2020-08-11,34.0,30.0,13.0,-1.0,-1.0,1
2020-08-12,32.0,9.0,22.0,-1.0,-1.0,2
2020-08-13,27.0,22.0,15.0,-1.0,-1.0,3
2020-08-14,14.0,5.0,5.0,-1.0,-1.0,4
2020-08-17,35.0,8.0,24.0,-1.0,-1.0,0
2020-08-18,16.0,12.0,5.0,-1.0,-1.0,1
2020-08-19,15.0,10.0,20.0,-1.0,-1.0,2
2020-08-20,20.0,29.0,14.0,-1.0,-1.0,3
2020-08-21,44.0,27.0,27.0,-1.0,-1.0,4
2020-08-24,22.0,5.0,16.0,-1.0,-1.0,0
2020-08-25,31.0,6.0,6.0,-1.0,-1.0,1
2020-08-26,11.0,5.0,10.0,-1.0,-1.0,2
2020-08-27,28.0,24.0,9.0,-1.0,-1.0,3
2020-08-28,39.0,39.0,36.0,-1.0,-1.0,4
2020-08-31,2.0,50.0,11.0,-1.0,-1.0,0
2020-09-01,72.0,16.0,39.0,-1.0,-1.0,1
2020-09-02,36.0,40.0,10.0,-1.0,-1.0,2
