,Date,ArticleNumber,LinkText,Tag,Link,Clicks,Month,Day,Year,Week,Weekday
0,2020-07-20,0,Celanese,3,https://en.wikipedia.org/wiki/Celanese,0.0,7,20,2020,30,0
1,2020-07-20,0,Clariant,4,https://en.wikipedia.org/wiki/Clariant,0.0,7,20,2020,30,0
2,2020-07-20,0,Orbia,5,https://en.wikipedia.org/wiki/Orbia,0.0,7,20,2020,30,0
3,2020-07-20,0,Westlake Chemical,6,https://en.wikipedia.org/wiki/Westlake_Chemical,1.0,7,20,2020,30,0
4,2020-07-20,0,by steam cracking natural gas,7,https://en.wikipedia.org/wiki/Ethylene#Industrial_process,0.0,7,20,2020,30,0
5,2020-07-20,0,here,8,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_1348,0.0,7,20,2020,30,0
6,2020-07-20,1,PKN Orlen,9,https://en.wikipedia.org/wiki/PKN_Orlen,0.0,7,20,2020,30,0
7,2020-07-20,1,Energa,10,https://grupa.energa.pl/en/energa-group/about-us,0.0,7,20,2020,30,0
8,2020-07-20,1,Lotos,11,https://en.wikipedia.org/wiki/Grupa_Lotos,0.0,7,20,2020,30,0
9,2020-07-20,1,PGNiG,12,https://en.wikipedia.org/wiki/PGNiG,0.0,7,20,2020,30,0
10,2020-07-20,1,here,13,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/poland-s-pkn-signals-intent-to-buy-state-gas-company-pgnig-59439899,0.0,7,20,2020,30,0
11,2020-07-20,2,Perfect Day,14,https://en.wikipedia.org/wiki/Perfect_Day_(company),0.0,7,20,2020,30,0
12,2020-07-20,2,Genomatica,15,https://en.wikipedia.org/wiki/Genomatica,0.0,7,20,2020,30,0
13,2020-07-20,2,here,16,https://fortune.com/2020/07/08/perfect-day-300-million-series-c/,2.0,7,20,2020,30,0
14,2020-07-20,2,here,17,https://www.genomatica.com/about/,0.0,7,20,2020,30,0
15,2020-07-21,0,Standard Oil,3,https://en.wikipedia.org/wiki/Standard_Oil,1.0,7,21,2020,30,1
16,2020-07-21,0,Chevron,4,https://en.wikipedia.org/wiki/Chevron_Corporation,0.0,7,21,2020,30,1
17,2020-07-21,0,Noble Energy,5,https://en.wikipedia.org/wiki/Noble_Energy,1.0,7,21,2020,30,1
18,2020-07-21,0,proven oil and gas reserves,6,https://en.wikipedia.org/wiki/Proven_reserves,1.0,7,21,2020,30,1
19,2020-07-21,0,Occidental,7,https://en.wikipedia.org/wiki/Occidental_Petroleum,0.0,7,21,2020,30,1
20,2020-07-21,0,Anadarko,8,https://en.wikipedia.org/wiki/Anadarko_Petroleum,1.0,7,21,2020,30,1
21,2020-07-21,0,barrels of oil equivalent,9,https://en.wikipedia.org/wiki/Barrel_of_oil_equivalent,2.0,7,21,2020,30,1
22,2020-07-21,0,here,10,https://www.denverpost.com/2020/07/20/chevron-noble-energy-colorado/,4.0,7,21,2020,30,1
23,2020-07-21,1,here,11,https://www.polyplastics-global.com/en/aboutus/history.html,0.0,7,21,2020,30,1
24,2020-07-21,1,mentioned in yesterday's column,12,https://thecolumn.co/daily/07202020,4.0,7,21,2020,30,1
25,2020-07-21,1,here,13,https://www.dallasnews.com/business/local-companies/2020/07/20/irving-based-celanese-sells-off-joint-venture-interest-in-polymers-firm-for-15-billion/,0.0,7,21,2020,30,1
26,2020-07-21,2,Dow Chemical,14,https://en.wikipedia.org/wiki/Dow_Chemical_Company,0.0,7,21,2020,30,1
27,2020-07-21,2,a bag of water,15,https://www.waterbusiness.com/business-opportunities/pouch-bagged-water/,3.0,7,21,2020,30,1
28,2020-07-21,2,RecyclePoints,16,http://www.recyclepoints.com,0.0,7,21,2020,30,1
29,2020-07-21,2,here,17,https://www.afrik21.africa/en/nigeria-dow-launches-reflexng-project-for-plastic-waste-management/,2.0,7,21,2020,30,1
30,2020-07-22,0,ExxonMobil,3,https://en.wikipedia.org/wiki/ExxonMobil,0.0,7,22,2020,30,2
